Year,Month,EFPG_code,Number_stores,Price_index_GEKS,Purchase_dollars_unwtd,Purchase_dollars_wtd,Purchase_grams_unwtd,Purchase_grams_wtd,Unit_value_mean_unwtd,Unit_value_mean_wtd,Unit_value_se_wtd
2012,2,29025,3988.8,1.005348813,20175071.32,31773707.64,2913907824,4641624493,0.701196374,0.688645883,0.01167165
2012,2,29050,3892.266667,1.037167121,9918839.555,14544144.84,2357292508,3418403909,0.419376263,0.420136391,0.00667193
2012,2,29075,7814.2,0.991718681,23072918.62,36353058.11,6231067297,9795211034,0.391890677,0.380547932,0.006600624
2012,2,30000,3876.066667,1.021344464,177544097.7,254946005.1,64093056923,92640763178,0.279834475,0.279332491,0.003022049
2012,2,30025,3847.933333,0.883567133,11439051.24,15764821.78,1630959993,2212372653,0.702823541,0.702298679,0.009755608
2012,2,30050,3671.733333,0.941007124,3939265.894,5688289.974,556953396.9,807029799.7,0.700961361,0.682043623,0.012974028
2012,2,30075,7869.466667,0.972486699,21196482.98,33075225.42,5846929622,9154681624,0.366738748,0.363116506,0.004019417
2012,2,30090,7514.466667,0.915210055,7721558.226,11558022.43,832017545,1239338244,0.928283357,0.916369221,0.015570583
2012,2,35000,8076.866667,0.964280415,33435040.42,52533028.03,18660371188,28422051528,0.178905607,0.186281675,0.000987638
2012,2,35050,2910.333333,0.907225289,1396664.207,2275727.01,1058761612,1701501634,0.134910508,0.135330257,0.001440752
2012,2,35075,8417.333333,0.985945803,27008293.62,45985879.59,14442800074,23077809325,0.186526344,0.196682542,0.001709687
2012,2,40000,8293.466667,1.031610402,25044838.37,47551230.52,21414982140,40787183079,0.115166231,0.115690718,0.001183135
2012,2,40030,7783,0.996117341,14895312.39,23156912.25,2956881573,4502394275,0.505439757,0.512179919,0.005026732
2012,2,40060,3206.466667,1.002262787,1288650.585,1753771.628,270179535.5,372247228.3,0.487965491,0.484898873,0.00784199
2012,2,43000,8280.066667,1.04216008,64086375.07,108047507.7,59222295486,1.00623E+11,0.110071278,0.110821109,0.001039988
2012,2,43030,6292.4,0.974820131,9187147.342,13772709.95,2756918015,4040594824,0.337867919,0.344709959,0.002650304
2012,2,43060,5735.933333,1.039176561,53859686.03,75120921.48,11898381125,16557532920,0.454531554,0.456859429,0.002502353
2012,2,46000,7790.066667,0.993487044,108629211.3,160995557.1,9993567742,14835701391,1.097855772,1.110554306,0.010270419
2012,2,46050,7155.466667,0.959426031,29088321.97,42717823.06,3099593603,4533374492,0.970221372,0.984018465,0.008985354
2012,2,50000,3998.666667,0.942056936,206488083.1,317137553.7,23720414697,37361572995,0.874473587,0.861244226,0.008989631
2012,2,50050,4739.8,0.922033262,4837782.56,7427279.257,663562100.2,989980441.9,0.740985129,0.741417737,0.013460083
2012,2,50075,2625.933333,0.949477403,224162.3492,392406.4888,24634576.27,39445024.36,0.952429821,1.020000086,0.021630747
2012,2,51500,2733.933333,1.023281733,84988403.9,123602873.7,18455308120,27442230852,0.466620153,0.458804702,0.00703503
2012,2,51550,4218.333333,1.020478998,16803572.81,24915839.33,3394989167,5182111356,0.493689564,0.479601463,0.007411127
2012,2,51575,6443.533333,1.022858099,2041617.76,3076646.765,249647725.5,364159082.9,0.83818399,0.869789838,0.008537998
